"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"128","ARAL","ARAL_01","Water",155322.567050931,0.00223422104750107,69519785.0833319,"catchment","2000_2005"
"129","ARAL","ARAL_01","Urban",164432.955628538,0.0023652684689896,69519785.0833319,"catchment","2000_2005"
"130","ARAL","ARAL_01","Bare_soil",1078344.07629575,0.0155113263800106,69519785.0833319,"catchment","2000_2005"
"131","ARAL","ARAL_01","Grassland",10293776.9139327,0.14806974592332,69519785.0833319,"catchment","2000_2005"
"132","ARAL","ARAL_01","Agriculture",739441.72241096,0.0106364212939469,69519785.0833319,"catchment","2000_2005"
"133","ARAL","ARAL_01","Shrubland",8596553.03515202,0.12365620844264,69519785.0833319,"catchment","2000_2005"
"134","ARAL","ARAL_01","Nat_forest",31571728.9437037,0.4541401977273,69519785.0833319,"catchment","2000_2005"
"135","ARAL","ARAL_01","Plant_forest",16920184.8691572,0.243386610716293,69519785.0833319,"catchment","2000_2005"
"136","IZKI","IZKI_10","Urban",115470.829407615,0.00264845842740614,43599260.6917019,"catchment","2000_2005"
"137","IZKI","IZKI_10","Bare_soil",180292.91134269,0.00413522863650311,43599260.6917019,"catchment","2000_2005"
"138","IZKI","IZKI_10","Grassland",1544477.78213478,0.0354244030204104,43599260.6917019,"catchment","2000_2005"
"139","IZKI","IZKI_10","Agriculture",1438527.69509875,0.0329943139465332,43599260.6917019,"catchment","2000_2005"
"140","IZKI","IZKI_10","Shrubland",5937571.64982654,0.136185145243911,43599260.6917019,"catchment","2000_2005"
"141","IZKI","IZKI_10","Nat_forest",31481268.4561073,0.72205968534001,43599260.6917019,"catchment","2000_2005"
"142","IZKI","IZKI_10","Plant_forest",2901651.36778418,0.066552765385227,43599260.6917019,"catchment","2000_2005"
"143","GORB","GORB_10","Urban",6579.23098108729,0.00016803741213761,39153370.0584451,"catchment","2000_2005"
"144","GORB","GORB_10","Bare_soil",592118.531770782,0.0151230540535058,39153370.0584451,"catchment","2000_2005"
"145","GORB","GORB_10","Grassland",4065601.11787004,0.103837833417691,39153370.0584451,"catchment","2000_2005"
"146","GORB","GORB_10","Agriculture",68136.3887350981,0.00174024326982299,39153370.0584451,"catchment","2000_2005"
"147","GORB","GORB_10","Shrubland",12209727.1077771,0.311843580502811,39153370.0584451,"catchment","2000_2005"
"148","GORB","GORB_10","Nat_forest",14102023.3144218,0.360173933773041,39153370.0584451,"catchment","2000_2005"
"149","GORB","GORB_10","Plant_forest",8109184.36688923,0.20711331757099,39153370.0584451,"catchment","2000_2005"
"150","ARTI","ARTI_10","Water",115389.490217685,0.00245048324825458,47088463.18369,"catchment","2005_2010"
"151","ARTI","ARTI_10","Urban",1966.94834452868,4.17713429477556e-05,47088463.18369,"catchment","2005_2010"
"152","ARTI","ARTI_10","Bare_soil",2623.48010389561,5.57138612415855e-05,47088463.18369,"catchment","2005_2010"
"153","ARTI","ARTI_10","Grassland",1213185.72523405,0.0257639694143652,47088463.18369,"catchment","2005_2010"
"154","ARTI","ARTI_10","Shrubland",6013098.82697575,0.127697920476167,47088463.18369,"catchment","2005_2010"
"155","ARTI","ARTI_10","Nat_forest",33090047.2658608,0.702720900802773,47088463.18369,"catchment","2005_2010"
"156","ARTI","ARTI_10","Plant_forest",6652151.44695324,0.141269240854251,47088463.18369,"catchment","2005_2010"
"157","AIZK","AIZK_10","Water",1973.80542625448,3.68209476632e-05,53605503.1583872,"catchment","2005_2010"
"158","AIZK","AIZK_10","Urban",29604.131886261,0.00055225919247115,53605503.1583872,"catchment","2005_2010"
"159","AIZK","AIZK_10","Bare_soil",1074663.99556536,0.0200476431009344,53605503.1583872,"catchment","2005_2010"
"160","AIZK","AIZK_10","Grassland",10743440.5646816,0.200416747007078,53605503.1583872,"catchment","2005_2010"
"161","AIZK","AIZK_10","Agriculture",507079.676212322,0.00945947050835552,53605503.1583872,"catchment","2005_2010"
"162","AIZK","AIZK_10","Shrubland",6707786.00184154,0.125132413775171,53605503.1583872,"catchment","2005_2010"
"163","AIZK","AIZK_10","Nat_forest",18882630.2674534,0.352251712135995,53605503.1583872,"catchment","2005_2010"
"164","AIZK","AIZK_10","Plant_forest",15658324.7153204,0.292102933332331,53605503.1583872,"catchment","2005_2010"
"165","ARAL","ARAL_01","Water",158613.056505625,0.00228168233127618,69515836.7715942,"catchment","2005_2010"
"166","ARAL","ARAL_01","Urban",100606.777448748,0.00144724975086336,69515836.7715942,"catchment","2005_2010"
"167","ARAL","ARAL_01","Bare_soil",1272902.15308702,0.0183109664243753,69515836.7715942,"catchment","2005_2010"
"168","ARAL","ARAL_01","Grassland",10893533.4197785,0.156705779944375,69515836.7715942,"catchment","2005_2010"
